,0
0,"[[80.19275352871688, 13.078031858542394], [80.19526658268481, 13.08488478536134], [80.1953098144532, 13.087751222156944], [80.19341205517382, 13.091978317926605], [80.18911018895562, 13.09611373516753], [80.18414736664712, 13.095334885807002], [80.18108915469531, 13.090199877075735], [80.1793908971431, 13.086237090274048], [80.18017454818906, 13.082459541276753], [80.18215954225175, 13.078080030073169], [80.18496193144519, 13.078052628927322]]"
1,"[[80.23510605764179, 13.071476603815265], [80.2375455513421, 13.072807062492053], [80.2379839208359, 13.076575739658294], [80.23754191171827, 13.077602221065282], [80.2367558854707, 13.078583140523687], [80.2353459982307, 13.079608569567075], [80.23084728811556, 13.0795611929052], [80.22850164651318, 13.075668230737248], [80.23084628318024, 13.073000183645025]]"
2,"[[80.29061503407273, 13.116388958237302], [80.29650769915452, 13.122372385832165], [80.29682282671953, 13.130835895886776], [80.28843682388866, 13.133490209415305], [80.284817686583, 13.133916447848106], [80.28176597045697, 13.131150325035335], [80.2779910921168, 13.123918197168656], [80.28672841192531, 13.117746557894671]]"
3,"[[80.24919522774553, 13.038899405617268], [80.26057498631774, 13.052099501886095], [80.26574980242964, 13.059278719914555], [80.2548121823082, 13.068855711631901], [80.24600339497705, 13.063390312976294], [80.2453364638723, 13.052565387659865]]"
4,"[[80.23613971027241, 13.122000132859334], [80.23878566954569, 13.12205243115756], [80.24199541890728, 13.122622870926945], [80.24260512097611, 13.127893058882156], [80.24039579327305, 13.129413044839527], [80.23453622099066, 13.130563949687671], [80.2303688166603, 13.130836316678607], [80.22653642867209, 13.130916038084287], [80.2243160585994, 13.12574120181758], [80.23104254157501, 13.123060577974734]]"
5,"[[80.22143465714298, 13.088784698048515], [80.22590735731136, 13.093312003853455], [80.22548127743667, 13.097548530926444], [80.22311188369184, 13.099809597685432], [80.22094415128964, 13.101056503171305], [80.21832799596376, 13.101713679285199], [80.21321379393349, 13.101952212789055], [80.21146270058095, 13.094227073075093], [80.21331196714912, 13.09176512919394], [80.21930345290289, 13.089463741357036]]"
6,"[[80.1959770475642, 13.049463229007998], [80.20149307878644, 13.050751503872116], [80.20351167203926, 13.056857927684698], [80.20252540307179, 13.061442848798432], [80.20049394409395, 13.070642506104438], [80.18797908515634, 13.067198720831106], [80.18542599711975, 13.064938821314822], [80.18291412572069, 13.06189159581119], [80.18067918011694, 13.058171430805848], [80.18649521549374, 13.054719611808784], [80.19276486174975, 13.051059644146171]]"
7,"[[80.28124769195469, 13.099266698176265], [80.28438665864994, 13.099513027203331], [80.28785038270472, 13.099876341467946], [80.2879783631098, 13.103502791547806], [80.28595847512081, 13.104741476129725], [80.28417598591638, 13.105250652623882], [80.28298622270297, 13.10421063389524], [80.28160978893575, 13.101998862896604]]"
8,"[[80.24386147334776, 13.0850183888315], [80.24818401201686, 13.085977357080669], [80.25054428060294, 13.088255163070981], [80.25506572804484, 13.094572273166614], [80.24947591861769, 13.10760142418332], [80.24206873970444, 13.102147533825578], [80.23773492690266, 13.094066038700946], [80.2385213134822, 13.092088469754732], [80.24076597545181, 13.087138141734656]]"
9,"[[80.23395200494329, 13.11212711115619], [80.23655954548096, 13.112315920948387], [80.24374462872653, 13.116828130124336], [80.23996086393811, 13.120229982522886], [80.23620938976134, 13.1213058748702], [80.23344890791456, 13.121890410506706], [80.22968531954795, 13.122363059155973], [80.225469402442, 13.12181374990982], [80.22375293375502, 13.121235667710508], [80.22189101126706, 13.120124417030471], [80.22198866865146, 13.117870713910596], [80.22565681927234, 13.112568177031395]]"
10,"[[80.21820418754123, 13.07218429349417], [80.2216351976829, 13.072424504132586], [80.223502232998, 13.073548419539692], [80.22357438655997, 13.077505854102945], [80.22277693848808, 13.078941597591207], [80.21984372588958, 13.080964676234766], [80.21829087242276, 13.081239722940076], [80.21434995515705, 13.079556112675956], [80.21151752546041, 13.078322726405444], [80.21294800882944, 13.072659390784304]]"
11,"[[80.26632668418273, 13.040810684819984], [80.27390738635278, 13.041930923886257], [80.27399408477909, 13.044235359684722], [80.27420350458766, 13.050219355497456], [80.26794923040545, 13.058217125524486], [80.26523623681777, 13.056496211977795], [80.26256863133811, 13.053720883028973], [80.26115128874464, 13.052039921624615], [80.25798439252351, 13.0474147462006], [80.25626221227027, 13.042948177018587], [80.25778390450613, 13.042505390993176], [80.2608380843512, 13.041828818395324]]"
