,0
0,"[[88.37588181626205, 22.567893370160643], [88.37992796166495, 22.567925969343328], [88.38206323717019, 22.573699877995683], [88.37614029001568, 22.583371731559517], [88.37295511945284, 22.579476095589694], [88.3705163336347, 22.574655551036173], [88.3697409920225, 22.5728287079402], [88.36895137635905, 22.569466589125856], [88.36951308105871, 22.56923331347184]]"
1,"[[88.47938302373531, 22.558446223788554], [88.48605888483051, 22.560028683810355], [88.49222970842644, 22.5627541311715], [88.49216177279044, 22.58306110024311], [88.48281809815876, 22.589911963411], [88.4719077009368, 22.59113586954897], [88.46929088117308, 22.585860604794195], [88.46721426693917, 22.569341752053013], [88.46935076274393, 22.565080203721827]]"
2,"[[88.393036819159, 22.590117380485676], [88.4123956343537, 22.597235595150252], [88.41199047034155, 22.602147676197127], [88.41122248048175, 22.61098400899728], [88.40291355463755, 22.616799090504273], [88.39625935321277, 22.61539908042795], [88.3903118601503, 22.61239371180706], [88.3881834041502, 22.604579698387266]]"
3,"[[88.37776452569142, 22.507746018996855], [88.37937070213299, 22.508737314350327], [88.38325329664801, 22.52338930070488], [88.38504879632767, 22.532835607611148], [88.38496321509103, 22.53498531069373], [88.37114259570473, 22.534845466685237], [88.36399048139427, 22.52274245676071], [88.36871930162344, 22.510840445588013]]"
4,"[[88.43701563435475, 22.587802119627703], [88.4446535226972, 22.59268758582166], [88.44329369556154, 22.60416758234313], [88.43508852052828, 22.60704157431252], [88.43351675201026, 22.60656639363679], [88.43257262178827, 22.60580155669202], [88.42689491786871, 22.59916683085348], [88.42863320889387, 22.59152138590336]]"
5,"[[88.34274830246027, 22.546065841019526], [88.3532473641984, 22.55019277397498], [88.358407548039, 22.55305646802064], [88.35976804456507, 22.557234993579325], [88.35806529055715, 22.562076789788737], [88.35600446912821, 22.56736737199991], [88.35036445202965, 22.56765381257349], [88.34987693214819, 22.567619971375013], [88.34600562985482, 22.565550468527807], [88.34284674228445, 22.56349957129953], [88.34277078654104, 22.55809970007171]]"
6,"[[88.38804330120558, 22.552647743353837], [88.3914172176463, 22.55529400657057], [88.3920783631098, 22.55664874183877], [88.39133868190154, 22.559250652623877], [88.3901142533817, 22.55958046947046], [88.38767926255937, 22.55821063389524], [88.38534769195469, 22.556478512968717]]"
7,"[[88.41353144461029, 22.569778982950613], [88.41907028249358, 22.57148325640961], [88.4224781273426, 22.57708471299125], [88.42350948195042, 22.57936197403743], [88.4172276619759, 22.58716143304301], [88.41381034189834, 22.58920032898984], [88.40955233468502, 22.589089783445463], [88.40138417519735, 22.57750619578825]]"
8,"[[88.32770933212204, 22.51412496719448], [88.33549877380206, 22.516390748858914], [88.34685868723993, 22.52345644897429], [88.34221076248436, 22.529603656058594], [88.33282843441513, 22.536274302073835], [88.32766153901787, 22.53688730229778], [88.31353128497288, 22.53128194785058], [88.31730345097199, 22.52052701525154], [88.32496368467619, 22.515200703748487]]"
9,"[[88.38193932971741, 22.498143242013], [88.39088121142069, 22.503383275316445], [88.39807052330454, 22.514309268836893], [88.39865765754726, 22.52482765672067], [88.39314303444503, 22.52960178352725], [88.38771809737158, 22.532054452046104], [88.38564711050729, 22.53177917568173], [88.38324394079805, 22.52292457812251], [88.38266669075381, 22.520686887217778], [88.38168271991474, 22.516252117254595], [88.38146356513391, 22.51477664984231], [88.38087844593592, 22.50882842145632]]"
10,"[[88.35688251252476, 22.580610576096507], [88.35894111860974, 22.580754702479553], [88.36006133979879, 22.58142905172382], [88.36010463193598, 22.583803512461767], [88.35962616309286, 22.584664958554725], [88.35786623553375, 22.585878805740858], [88.35693452345366, 22.58604383376405], [88.35456997309423, 22.585033667605572], [88.35287051527624, 22.584293635843267], [88.35372880529766, 22.580895634470586]]"
